Ticker,Company_Name,Stock_Index
EMG.L,Man Group,FTSE_250
DRX.L,Drax Group,FTSE_250
INPP.L,International Public Partnership Ltd,FTSE_250
BAB.L,Babcock International Group,FTSE_250
DNLM.L,Dunelm Group,FTSE_250
ROO.L,Deliveroo Holdings,FTSE_ALL
MNKS.L,Monks Investment Trust,FTSE_250
BRBY.L,Burberry Group,FTSE_250
BYG.L,Big Yellow Group,FTSE_250
DLG.L,Direct Line Insurance Group,FTSE_250
PHLL.L,Petershill Partners,FTSE_250
JET.L,Just Eat Takeaway.Com NV,FTSE_ALL
HGT.L,HgCapital Trust,FTSE_250
PTEC.L,Playtech,FTSE_250
BBY.L,Balfour Beatty,FTSE_250
BUR.L,Burford Capital Ltd,FTSE_AIM
CTY.L,City of London Investment Trust,FTSE_250
SSON.L,Smithson Investment Trust,FTSE_250
GFTU.L,Grafton Group,FTSE_250
CCL.L,Carnival,FTSE_250
KWS.L,Keywords Studios,FTSE_AIM
SAFE.L,Safestore Holdings,FTSE_250
QLT.L,Quilter,FTSE_250
TPK.L,Travis Perkins,FTSE_250
SRP.L,Serco Group,FTSE_250
PLUS.L,Plus500 Ltd,FTSE_250
AJB.L,AJ Bell,FTSE_250
SMWH.L,WH Smith,FTSE_250
MRC.L,Mercantile Investment Trust,FTSE_250
CLDN.L,Caledonia Investments,FTSE_250
JAM.L,JPMorgan American Investment Trust,FTSE_250
WWH.L,Worldwide Healthcare Trust,FTSE_250
GRI.L,Grainger,FTSE_250
TCAP.L,TP ICAP,FTSE_250
HVPE.L,Harbourvest Global Private Equity Ltd,FTSE_250
ITH.L,Ithaca Energy,FTSE_250
IWG.L,International Workplace Group,FTSE_250
JTC.L,JTC,FTSE_250
BGEO.L,Bank of Georgia Group,FTSE_250
CEY.L,Centamin,FTSE_250
MAB.L,Mitchells & Butlers,FTSE_250
RAT.L,Rathbone Brothers,FTSE_250
ENOG.L,Energean,FTSE_250
KOS, Kosmos Energy Ltd,FTSE_ALL
TEM.L,Templeton Emerging Markets Investment Trust,FTSE_250
PNL.L,Personal Assets Trust,FTSE_250
HILS.L,Hill & Smith Holdings,FTSE_250
RHIM.L,RHI Magnesita NV,FTSE_250
DATA.L,GlobalData,FTSE_AIM
WTAN.L,Witan Investment Trust,FTSE_250
PAG.L,Paragon Banking Group,FTSE_250
PNN.L,Pennon Group,FTSE_250
PFD.L,Premier Foods,FTSE_250
GAMA.L,Gamma Communications,FTSE_AIM
HMSO.L,Hammerson,FTSE_250
MYI.L,Murray International Trust,FTSE_250
COA.L,Coats Group,FTSE_250
SVS.L,Savills,FTSE_250
FEV.L,Fidelity European Trust,FTSE_250
PIN.L,Pantheon International,FTSE_250
LRE.L,Lancashire Holdings Ltd,FTSE_250
OSB.L,OSB Group,FTSE_250
BCG.L,Baltic Classifieds Group,FTSE_250
FOUR.L,4imprint Group,FTSE_250
MTO.L,Mitie Group,FTSE_250
MGNS.L,Morgan Sindall,FTSE_250
JUST.L,Just Group,FTSE_250
TRN.L,Trainline,FTSE_250
BREE.L,Breedon Group,FTSE_250
FGT.L,Finsbury Growth & Income Trust,FTSE_250
TEP.L,Telecom plus,FTSE_250
GNS.L,Genus,FTSE_250
ONT.L,Oxford Nanopore Technologies,FTSE_ALL
ATT.L,Allianz Technology Trust,FTSE_250
PETS.L,Pets at Home Group,FTSE_250
SRE.L,Sirius Real Estate Ltd,FTSE_250
TBCG.L,TBC Bank Group,FTSE_250
SEPL.L,SEPLAT Petroleum Development Co,FTSE_ALL
GPE.L,Great Portland Estates,FTSE_250
HAS.L,Hays,FTSE_250
PHP.L,Primary Health Properties,FTSE_250
AGR.L,Assura,FTSE_250
ASHM.L,Ashmore Group,FTSE_250
SSPG.L,SSP Group,FTSE_250
WIZZ.L,Wizz Air Holding,FTSE_250
BHMG.L,BH Macro Ltd,FTSE_250
BNKR.L,Bankers Investment Trust,FTSE_250
ASL.L,Aberforth Smaller Companies Trust,FTSE_250
YCA.L,Yellow Cake,FTSE_AIM
SEQI.L,Sequoia Economic Infrastructure Income Fund Ltd,FTSE_250
JMG.L,JPMorgan Emerging Markets Inv Trust,FTSE_250
BYIT.L,Bytes Technology Group,FTSE_250
FAN.L,Volution Group,FTSE_250
WKP.L,Workspace Group,FTSE_250
EVREvraz.L,,FTSE_ALL
KLR.L,Keller Group,FTSE_250
GEN.L,Genuit Group,FTSE_250
PAGE.L,PageGroup,FTSE_250
DOM.L,Domino's Pizza Group,FTSE_250
IHP.L,IntegraFin Holdings,FTSE_250
LWDB.L,Law Debenture Corp,FTSE_250
ASCL.L,Ascential,FTSE_250
OXIG.L,Oxford Instruments,FTSE_250
FCSS.L,Fidelity China Special Situations,FTSE_250
HTWS.L,Helios Towers,FTSE_250
MONY.L,Mony Group,FTSE_250
N91.L,Ninety One,FTSE_250
WOSG.L,Watches Of Switzerland Group,FTSE_250
VEIL.L,Vietnam Enterprise Investments Ltd,FTSE_250
CKN.L,Clarkson,FTSE_250
TRY.L,TR Property Investment Trust,FTSE_250
HRI.L,Herald Investment Trust,FTSE_250
EDIN.L,Edinburgh Investment Trust,FTSE_250
FUTR.L,Future,FTSE_250
CRN.L,Cairn Homes,FTSE_ALL
BOY.L,Bodycote,FTSE_250
KNOS.L,Kainos Group Ltd,FTSE_250
AGT.L,AVI Global Trust,FTSE_250
VSVS.L,Vesuvius,FTSE_250
SPT.L,Spirent Communications,FTSE_250
FSV.L,Fidelity Special Values,FTSE_250
IEM.L,Impax Environmental Markets,FTSE_250
CURY.L,Currys,FTSE_250
CHG.L,Chemring Group,FTSE_250
CGT.L,Capital Gearing Trust,FTSE_250
BRWM.L,BlackRock World Mining Trust,FTSE_250
RICA.L,Ruffer Investment Company Ltd,FTSE_250
TRST.L,Trustpilot Group,FTSE_250
INDV.L,Indivior,FTSE_ALL
HOC.L,Hochschild Mining,FTSE_250
SPI.L,Spire Healthcare Group,FTSE_250
SUPR.L,Supermarket Income Reit,FTSE_250
AML.L,Aston Martin Lagonda Global Holdings,FTSE_250
SAIN.L,Scottish American Investment Co,FTSE_250
BBGI.L,Bilfinger Berger Global Infrastructure SICAV SA,FTSE_250
ALPH.L,Alpha Group International,FTSE_250
FEVR.L,Fevertree Drinks,FTSE_AIM
BAKK.L,Bakkavor Group,FTSE_250
OCI.L,Oakley Capital Investments Ltd,FTSE_ALL
RNWH.L,Renew Holdings,FTSE_AIM
JDW.L,Wetherspoon (JD),FTSE_250
GNC.L,Greencore Group,FTSE_250
MUT.L,Murray Income Trust,FTSE_250
ELM.L,Elementis,FTSE_250
WG.L,Wood Group (John),FTSE_250
MRCH.L,Merchants Trust,FTSE_250
CMCX.L,CMC Markets,FTSE_250
FGP.L,FirstGroup,FTSE_250
ZIG.L,Zigup,FTSE_250
PPET.L,Patria Private Equity Trust,FTSE_250
MSLH.L,Marshalls,FTSE_250
SDP.L,Schroder AsiaPacific Fund,FTSE_250
BPCP.L,BioPharma Credit,FTSE_ALL
HFG.L,Hilton Food Group,FTSE_250
VCT.L,Victrex,FTSE_250
TFIF.L,TwentyFour Income Fund Ltd,FTSE_250
JFJ.L,JPMorgan Japanese Investment Trust,FTSE_250
GSCT.L,Global Smaller Companies Trust,FTSE_250
CRE.L,Conduit Holdings Ltd,FTSE_ALL
JHD.L,James Halstead,FTSE_AIM
ICGT.L,ICG Enterprise Trust,FTSE_250
SRC.L,SigmaRoc,FTSE_AIM
TIFS.L,TI Fluid Systems,FTSE_250
TMPL.L,Temple Bar Investment Trust,FTSE_250
ICGC.L,Irish Continental Group,FTSE_ALL
MGAM.L,Morgan Advanced Materials,FTSE_250
CVSG.L,CVS Group,FTSE_AIM
MOON.L,Moonpig Group,FTSE_250
DAL.L,Dalata Hotel Group Ltd,FTSE_ALL
RSG.L,Resolute Mining Ltd,FTSE_ALL
DWL.L,Dowlais Group,FTSE_250
GBG.L,GB Group,FTSE_AIM
MEGP.L,Me Group International,FTSE_250
LTG.L,Learning Technologies Group,FTSE_AIM
NBPE.L,NB Private Equity Partners Ltd,FTSE_250
GROW.L,Molten Ventures,FTSE_250
IBST.L,Ibstock,FTSE_250
AWE.L,Alphawave IP Group,FTSE_ALL
THG.L,THG,FTSE_ALL
SYNC.L,Syncona Ltd,FTSE_250
RPI.L,Raspberry Pi Holdings,FTSE_250
VOF.L,VinaCapital Vietnam Opportunity Fund Ltd,FTSE_250
CRW.L,Craneware,FTSE_AIM
ESCT.L,The European Smaller Companies Trust,FTSE_250
JII.L,JPMorgan Indian Investment Trust,FTSE_250
TGA.L,Thungela Resources Ltd,FTSE_ALL
BAG.L,Barr (AG),FTSE_250
APAX.L,APAX Global Alpha Ltd,FTSE_250
CORD.L,Cordiant Digital Infrastructure Ltd,FTSE_ALL
DGN.L,Asia Dragon Trust,FTSE_250
SEIT.L,SDCL Energy Efficiency Income Trust,FTSE_250
BRSC.L,BlackRock Smaller Companies Trust,FTSE_250
BCPT.L,Balanced Commercial Property Trust Ltd,FTSE_250
BBH.L,Bellevue Healthcare Trust,FTSE_250
GCP.L,GCP Infrastructure Investments Ltd,FTSE_250
JSG.L,Johnson Service Group,FTSE_AIM
SOI.L,Schroder Oriental Income Fund Ltd,FTSE_250
GGP.L,Greatland Gold,FTSE_AIM
BGFD.L,Baillie Gifford Japan Trust,FTSE_250
BSIF.L,Bluefield Solar Income Fund Ltd,FTSE_250
PAF.L,Pan African Resources,FTSE_AIM
HSL.L,Henderson Smaller Companies Investment Trust,FTSE_250
JDG.L,Judges Scientific,FTSE_AIM
XPS.L,XPS Pensions Group,FTSE_250
AO.L,AO World,FTSE_250
CCR.L,C&C Group,FTSE_250
PEYS.L,Partners Group Private Equity Ltd,FTSE_ALL
KIE.L,Kier Group,FTSE_250
USA.L,Baillie Gifford US Growth Trust,FTSE_250
ADT1.L,Adriatic Metals,FTSE_ALL
ALFA.L,Alfa Financial Software Holdings,FTSE_250
BUT.L,Brunner Investment Trust,FTSE_250
