Ticker,Company_Name,Stock_Index
IEM.L,Impax Environmental Markets,FTSE_250
CURY.L,Currys,FTSE_250
CHG.L,Chemring Group,FTSE_250
CGT.L,Capital Gearing Trust,FTSE_250
BRWM.L,BlackRock World Mining Trust,FTSE_250
RICA.L,Ruffer Investment Company Ltd,FTSE_250
TRST.L,Trustpilot Group,FTSE_250
HOC.L,Hochschild Mining,FTSE_250
SPI.L,Spire Healthcare Group,FTSE_250
SUPR.L,Supermarket Income Reit,FTSE_250
AML.L,Aston Martin Lagonda Global Holdings,FTSE_250
SAIN.L,Scottish American Investment Co,FTSE_250
BBGI.L,Bilfinger Berger Global Infrastructure SICAV SA,FTSE_250
ALPH.L,Alpha Group International,FTSE_250
BAKK.L,Bakkavor Group,FTSE_250
JDW.L,Wetherspoon (JD),FTSE_250
GNC.L,Greencore Group,FTSE_250
MUT.L,Murray Income Trust,FTSE_250
ELM.L,Elementis,FTSE_250
WG.L,Wood Group (John),FTSE_250
MRCH.L,Merchants Trust,FTSE_250
CMCX.L,CMC Markets,FTSE_250
FGP.L,FirstGroup,FTSE_250
ZIG.L,Zigup,FTSE_250
PPET.L,Patria Private Equity Trust,FTSE_250
MSLH.L,Marshalls,FTSE_250
SDP.L,Schroder AsiaPacific Fund,FTSE_250
HFG.L,Hilton Food Group,FTSE_250
VCT.L,Victrex,FTSE_250
TFIF.L,TwentyFour Income Fund Ltd,FTSE_250
JFJ.L,JPMorgan Japanese Investment Trust,FTSE_250
GSCT.L,Global Smaller Companies Trust,FTSE_250
ICGT.L,ICG Enterprise Trust,FTSE_250
TIFS.L,TI Fluid Systems,FTSE_250
TMPL.L,Temple Bar Investment Trust,FTSE_250
MGAM.L,Morgan Advanced Materials,FTSE_250
MOON.L,Moonpig Group,FTSE_250
DWL.L,Dowlais Group,FTSE_250
MEGP.L,Me Group International,FTSE_250
NBPE.L,NB Private Equity Partners Ltd,FTSE_250
GROW.L,Molten Ventures,FTSE_250
IBST.L,Ibstock,FTSE_250
SYNC.L,Syncona Ltd,FTSE_250
RPI.L,Raspberry Pi Holdings,FTSE_250
VOF.L,VinaCapital Vietnam Opportunity Fund Ltd,FTSE_250
ESCT.L,The European Smaller Companies Trust,FTSE_250
JII.L,JPMorgan Indian Investment Trust,FTSE_250
BAG.L,Barr (AG),FTSE_250
APAX.L,APAX Global Alpha Ltd,FTSE_250
DGN.L,Asia Dragon Trust,FTSE_250
SEIT.L,SDCL Energy Efficiency Income Trust,FTSE_250
BRSC.L,BlackRock Smaller Companies Trust,FTSE_250
BCPT.L,Balanced Commercial Property Trust Ltd,FTSE_250
BBH.L,Bellevue Healthcare Trust,FTSE_250
GCP.L,GCP Infrastructure Investments Ltd,FTSE_250
SOI.L,Schroder Oriental Income Fund Ltd,FTSE_250
BGFD.L,Baillie Gifford Japan Trust,FTSE_250
BSIF.L,Bluefield Solar Income Fund Ltd,FTSE_250
HSL.L,Henderson Smaller Companies Investment Trust,FTSE_250
XPS.L,XPS Pensions Group,FTSE_250
AO.L,AO World,FTSE_250
CCR.L,C&C Group,FTSE_250
KIE.L,Kier Group,FTSE_250
USA.L,Baillie Gifford US Growth Trust,FTSE_250
ALFA.L,Alfa Financial Software Holdings,FTSE_250
BUT.L,Brunner Investment Trust,FTSE_250
HTG.L,Hunting,FTSE_250
FSG.L,Foresight Group Holdings Ltd,FTSE_250
EWI.L,Edinburgh Worldwide Investment Trust,FTSE_250
HWG.L,Harworth Group,FTSE_250
ESP.L,Empiric Student Property,FTSE_250
HET.L,Henderson European Trust,FTSE_250
SHED.L,Urban Logistics REIT,FTSE_250
FGEN.L,Foresight Environmental Infrastructure Ltd,FTSE_250
BRGE.L,BlackRock Greater Europe Investment Trust,FTSE_250
DSCV.L,Discoverie Group,FTSE_250
PRSR.L,PRS REIT,FTSE_250
BMY.L,Bloomsbury Publishing,FTSE_250
EBOX.L,Tritax Eurobox,FTSE_250
CBG.L,Close Brothers Group,FTSE_250
WPS.L,W.A.G Payment Solutions,FTSE_250
JEDT.L,JPMorgan European Discovery Trust,FTSE_250
THRL.L,Target Healthcare REIT Ltd,FTSE_250
PHI.L,Pacific Horizon Investment Trust,FTSE_250
EOT.L,European Opportunities Trust,FTSE_250
THRG.L,Blackrock Throgmorton Trust,FTSE_250
SNR.L,Senior,FTSE_250
IPO.L,IP Group,FTSE_250
PCFT.L,Polar Capital Global Financials Trust,FTSE_250
GDWN.L,Goodwin,FTSE_250
DOCS.L,Dr. Martens,FTSE_250
BOWL.L,Hollywood Bowl Group,FTSE_250
NCC.L,NCC Group,FTSE_250
NAS.L,North Atlantic Smaller Companies Inv Trust,FTSE_250
FEML.L,Fidelity Emerging Markets Ltd,FTSE_250
FSFL.L,Foresight Solar Fund Ltd,FTSE_250
RWI.L,Renewi,FTSE_250
ATG.L,Auction Technology Group,FTSE_250
STEM.L,SThree,FTSE_250
PPH.L,PPHE Hotel Group Ltd,FTSE_250
CRST.L,Crest Nicholson Holdings Ltd,FTSE_250
NESF.L,NextEnergy Solar Fund Ltd,FTSE_250
JUP.L,Jupiter Fund Management,FTSE_250
ESNT.L,Essentra,FTSE_250
PZC.L,PZ Cussons,FTSE_250
PRTC.L,Puretech Health,FTSE_250
